'Test Type,Test Description
0,
'Version
1.1.0
'Time Stamp
2018-11-18 21:43:37:088
'Access specifications
'Access specification name,default assignment
512 B; 100% Read; 0% random,0
'size,% of size,% reads,% random,delay,burst,align,reply
512,100,100,0,0,1,0,0,
'End access specifications
'Results
'Target Type,Target Name,Access Specification Name,# Managers,# Workers,# Disks,IOps,Read IOps,Write IOps,MiBps (Binary),Read MiBps (Binary),Write MiBps (Binary),MBps (Decimal),Read MBps (Decimal),Write MBps (Decimal),Transactions per Second,Connections per Second,Average Response Time,Average Read Response Time,Average Write Response Time,Average Transaction Time,Average Connection Time,Maximum Response Time,Maximum Read Response Time,Maximum Write Response Time,Maximum Transaction Time,Maximum Connection Time,Errors,Read Errors,Write Errors,Bytes Read,Bytes Written,Read I/Os,Write I/Os,Connections,Transactions per Connection,Total Raw Read Response Time,Total Raw Write Response Time,Total Raw Transaction Time,Total Raw Connection Time,Maximum Raw Read Response Time,Maximum Raw Write Response Time,Maximum Raw Transaction Time,Maximum Raw Connection Time,Total Raw Run Time,Starting Sector,Maximum Size,Queue Depth,% CPU Utilization,% User Time,% Privileged Time,% DPC Time,% Interrupt Time,Processor Speed,Interrupts per Second,CPU Effectiveness,Packets/Second,Packet Errors,Segments Retransmitted/Second,0 to 50 uS,50 to 100 uS,100 to 200 uS,200 to 500 uS,0.5 to 1 mS,1 to 2 mS,2 to 5 mS,5 to 10 mS,10 to 15 mS,15 to 20 mS,20 to 30 mS,30 to 50 mS,50 to 100 mS,100 to 200 mS,200 to 500 mS,0.5 to 1 S,1 to 2 s,2 to 4.7 s,4.7 to 5 s,5 to 10 s, >= 10 s
ALL,All,512 B; 100% Read; 0% random,1,1,1,51460.655119,25730.324605,25730.330514,25.127273,12.563635,12.563638,26.347855,13.173926,13.173929,51460.655119,0.000000,0.038563,0.038532,0.038594,0.038563,0.000000,35.985626,35.921216,35.985626,35.985626,0.000000,0,0,0,359313920,359313408,701785,701784,0,-1,,,,,,,,,,18446744073709551615,18446744073709551615,1,79.852264,26.945081,52.927325,0.215561,0.445492,,54761.887780,644.448288,12.545055,0.000000,2.317708,1227220,162363,9286,2980,889,368,281,132,23,9,12,6,0,0,0,0,0,0,0,0,0
MANAGER,MYU,512 B; 100% Read; 0% random,,1,1,51460.655119,25730.324605,25730.330514,25.127273,12.563635,12.563638,26.347855,13.173926,13.173929,51460.655119,0.000000,0.038563,0.038532,0.038594,0.038563,0.000000,35.985626,35.921216,35.985626,35.985626,0.000000,0,0,0,359313920,359313408,701785,701784,0,-1,65912787,66018843,131931630,0,87558,87715,87715,0,66481930,18446744073709551615,18446744073709551615,1,79.852264,26.945081,52.927325,0.215561,0.445492,2437501.000000,54761.887780,644.448288,12.545055,0.000000,2.317708,1227220,162363,9286,2980,889,368,281,132,23,9,12,6,0,0,0,0,0,0,0,0,0
PROCESSOR,CPU 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.076246,27.534281,51.562108,0.804760,0.977208,2437501.000000,15834.618678,,,,
PROCESSOR,CPU 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.903798,27.591763,51.332176,0.057483,0.229931,2437501.000000,13324.761516,,,,
PROCESSOR,CPU 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.467734,28.281557,54.206318,0.000000,0.517346,2437501.000000,14805.997740,,,,
PROCESSOR,CPU 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.961280,24.372724,54.608698,0.000000,0.057483,2437501.000000,10796.509845,,,,
WORKER,Worker 5,512 B; 100% Read; 0% random,,,1,25730.324605,25730.324605,0.000000,12.563635,12.563635,0.000000,13.173926,13.173926,0.000000,25730.324605,0.000000,0.038532,0.038532,0.000000,0.038532,0.000000,35.921216,35.921216,0.000000,35.921216,0.000000,0,0,0,359313920,0,701785,0,0,-1,65912787,0,65912787,0,87558,0,87558,0,66481930,18446744073709551615,18446744073709551615,1,,,,,,2437501.000000,,,,,,612616,81869,4761,1549,536,201,149,78,13,4,6,3,0,0,0,0,0,0,0,0,0
NETWORK,MYU:192.168.254.1 >> MYU:192.168.254.1,,,,,25730.324605,25730.324605,0.000000,12.563635,12.563635,0.000000,13.173926,13.173926,0.000000,25730.324605,0.000000,0.038532,0.038532,0.000000,0.038532,0.000000,35.921216,35.921216,0.000000,35.921216,0.000000,0,0,0,359313920,0,701785,0,0,-1,65912787,0,65912787,0,87558,0,87558,0,66481930,18446744073709551615,18446744073709551615,1,,,,,,2437501.000000,,,,,,612616,81869,4761,1549,536,201,149,78,13,4,6,3,0,0,0,0,0,0,0,0,0
WORKER,[Worker 5],512 B; 100% Read; 0% random,,,1,25730.330514,0.000000,25730.330514,12.563638,0.000000,12.563638,13.173929,0.000000,13.173929,25730.330514,0.000000,0.038594,0.000000,0.038594,0.038594,0.000000,35.985626,0.000000,35.985626,35.985626,0.000000,0,0,0,0,359313408,0,701784,0,-1,0,66018843,66018843,0,0,87715,87715,0,66481820,18446744073709551615,18446744073709551615,1,,,,,,2437501.000000,,,,,,614604,80494,4525,1431,353,167,132,54,10,5,6,3,0,0,0,0,0,0,0,0,0
'Time Stamp
2018-11-18 21:44:05:715
'Access specifications
'Access specification name,default assignment
512 B; 75% Read; 0% random,0
'size,% of size,% reads,% random,delay,burst,align,reply
512,100,75,0,0,1,0,0,
'End access specifications
'Results
'Target Type,Target Name,Access Specification Name,# Managers,# Workers,# Disks,IOps,Read IOps,Write IOps,MiBps (Binary),Read MiBps (Binary),Write MiBps (Binary),MBps (Decimal),Read MBps (Decimal),Write MBps (Decimal),Transactions per Second,Connections per Second,Average Response Time,Average Read Response Time,Average Write Response Time,Average Transaction Time,Average Connection Time,Maximum Response Time,Maximum Read Response Time,Maximum Write Response Time,Maximum Transaction Time,Maximum Connection Time,Errors,Read Errors,Write Errors,Bytes Read,Bytes Written,Read I/Os,Write I/Os,Connections,Transactions per Connection,Total Raw Read Response Time,Total Raw Write Response Time,Total Raw Transaction Time,Total Raw Connection Time,Maximum Raw Read Response Time,Maximum Raw Write Response Time,Maximum Raw Transaction Time,Maximum Raw Connection Time,Total Raw Run Time,Starting Sector,Maximum Size,Queue Depth,% CPU Utilization,% User Time,% Privileged Time,% DPC Time,% Interrupt Time,Processor Speed,Interrupts per Second,CPU Effectiveness,Packets/Second,Packet Errors,Segments Retransmitted/Second,0 to 50 uS,50 to 100 uS,100 to 200 uS,200 to 500 uS,0.5 to 1 mS,1 to 2 mS,2 to 5 mS,5 to 10 mS,10 to 15 mS,15 to 20 mS,20 to 30 mS,30 to 50 mS,50 to 100 mS,100 to 200 mS,200 to 500 mS,0.5 to 1 S,1 to 2 s,2 to 4.7 s,4.7 to 5 s,5 to 10 s, >= 10 s
ALL,All,512 B; 75% Read; 0% random,1,1,1,47199.151846,23599.557626,23599.594220,23.046461,11.523221,11.523239,24.165966,12.082974,12.082992,47199.151846,0.000000,0.042073,0.039121,0.045026,0.042073,0.000000,22.703580,20.703581,22.703580,22.703580,0.000000,0,0,0,217548800,217548800,424900,424900,0,-1,,,,,,,,,,18446744073709551615,18446744073709551615,1,76.144348,25.027814,51.054135,0.151947,0.434134,,54266.975109,619.864157,17.115291,0.000000,2.222765,653218,186868,7342,1905,256,75,65,46,20,3,2,0,0,0,0,0,0,0,0,0,0
